-4.78E-01,-68.5
-4.78E-01,-65.5
-4.78E-01,-61.5
-4.78E-01,-56.5
-4.78E-01,-52.5
-4.78E-01,-48.5
-4.78E-01,-45.5
-4.77E-01,-41.5
-4.77E-01,-36.5
-4.77E-01,-33.5
-4.77E-01,-28.5
-4.77E-01,-23.5
-4.77E-01,-19.5
-4.77E-01,-16.5
-4.77E-01,-9.5
-4.77E-01,-6.5
-4.77E-01,-2.5
-4.76E-01,0.5
-4.76E-01,5.5
-4.76E-01,8.5
-4.76E-01,12.5
-4.76E-01,17.5
-4.76E-01,19.5
-4.76E-01,23.5
-4.76E-01,26.5
-4.76E-01,29.5
-4.76E-01,32.5
-4.75E-01,33.5
-4.75E-01,37.5
-4.75E-01,39.5
-4.75E-01,41.5
-4.75E-01,43.5
-4.75E-01,44.5
-4.75E-01,45.5
-4.75E-01,47.5
-4.75E-01,47.5
-4.75E-01,48.5
-4.74E-01,49.5
-4.74E-01,48.5
-4.74E-01,48.5
-4.74E-01,49.5
-4.74E-01,49.5
-4.74E-01,47.5
-4.74E-01,47.5
-4.74E-01,47.5
-4.74E-01,45.5
-4.74E-01,45.5
-4.73E-01,42.5
-4.73E-01,41.5
-4.73E-01,39.5
-4.73E-01,37.5
-4.73E-01,35.5
-4.73E-01,31.5
-4.73E-01,28.5
-4.73E-01,26.5
-4.73E-01,23.5
-4.73E-01,20.5
-4.72E-01,17.5
-4.72E-01,14.5
-4.72E-01,10.5
-4.72E-01,8.5
-4.72E-01,4.5
-4.72E-01,-0.5
-4.72E-01,-4.5
-4.72E-01,-1.5
-4.72E-01,-0.5
-4.72E-01,-1.5
-4.71E-01,-1.5
-4.71E-01,-1.5
-4.71E-01,0.5
-4.71E-01,-0.5
-4.71E-01,-1.5
-4.71E-01,-2.5
-4.71E-01,-1.5
-4.71E-01,-1.5
-4.71E-01,-1.5
-4.71E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-0.5
-4.70E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-1.5
-4.70E-01,-0.5
-4.69E-01,-1.5
-4.69E-01,-1.5
-4.69E-01,-0.5
-4.69E-01,-1.5
-4.69E-01,-0.5
-4.69E-01,-1.5
-4.69E-01,-1.5
-4.69E-01,-1.5
-4.69E-01,-1.5
-4.69E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.68E-01,-1.5
-4.67E-01,-0.5
-4.67E-01,-1.5
-4.67E-01,-0.5
-4.67E-01,-1.5
-4.67E-01,-2.5
-4.67E-01,-1.5
-4.67E-01,-0.5
-4.67E-01,-1.5
-4.67E-01,-2.5
-4.67E-01,-1.5
-4.66E-01,-1.5
-4.66E-01,-1.5
-4.66E-01,-0.5
-4.66E-01,-0.5
-4.66E-01,-1.5
-4.66E-01,-1.5
-4.66E-01,-1.5
-4.66E-01,-0.5
-4.66E-01,-0.5
-4.66E-01,-1.5
-4.65E-01,-1.5
-4.65E-01,-1.5
-4.65E-01,-1.5
-4.65E-01,-1.5
-4.65E-01,-0.5
-4.65E-01,-1.5
-4.65E-01,-0.5
-4.65E-01,-1.5
-4.65E-01,-1.5
-4.65E-01,-1.5
-4.64E-01,-1.5
-4.64E-01,-1.5
-4.64E-01,-1.5
-4.64E-01,-2.5
-4.64E-01,-1.5
-4.64E-01,-1.5
-4.64E-01,-1.5
-4.64E-01,-0.5
-4.64E-01,-0.5
-4.64E-01,-1.5
-4.63E-01,-1.5
-4.63E-01,-1.5
-4.63E-01,-1.5
-4.63E-01,-0.5
-4.63E-01,-0.5
